Process name:	LN:DtoND				
Process type:	LN				
Prose description:	Voiced stops are optionally prenasalized between a nasal and an oral vowel				
	Optionality:		Optional		
	Directionality:		Rightward		
	Alternation type:		Phonological		
	Undergoers:		b, d, ɡ, dʒ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Unspecified
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Unspecified
	Transparencies:		NA		
	Opacities:		NA		
					
Page numbers:	43				
Process name:	LN:DtoN				
Process type:	LN				
Prose description:	Voiced stop onsets are fully nasalized before nasal vowels				
	Optionality:		Categorical		
	Directionality:		Leftward		
	Alternation type:		Phonological		
	Undergoers:		b, d, ɡ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Unspecified
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Unspecified
	Transparencies:		NA		
	Opacities:		NA		
					
Doctype:	Synthesis				
Language:	Aché				
Alternate_Names:	Achê				
ISO_Codes:	guq				
Glottocode:	ache1246				
Synthesis:	Our analysis draws heavily on Rößler's (2008) analysis, but we diverge from that work in our treatment of [D]~[ND]~[N] alternations. Whereas she treats /D/ as underlying, and derives [ND] and [N] phones from them via nasalization, we posit /N/ as underlying, and derive [ND] from /N/ via post-oralization, and /D/ via combined pre- and post-oralization.  We are motivated to do so because if one posits /D/ to underlie these alternations, it is difficult to account for the VmbV ~ VbV alternation in oral environments, as this would entail the underlying voiced oral stop gaining a nasal feature without there being any phonological or phonetic source for that feature (i.e., this would be case of spontaneous nasalization).  We thus posit underlying nasal consonants in cases of surface [m, mb, b]. We analyze the variability of [mb]~[b] both word-initially and in the onset of stressed syllables as a consequence of the phonetically variable strength of leftward oralization in these positions. One the other hand the categorical /VmV/ > [VbV] is due to the stronger leftward oralization in unstressed syllables.    We analyze these segments as the result of the interaction of two process: 1) leftward oralization; 2) rightward nasalization. Crucially, the strength of the leftward oralization process is: a) stochastic; and b) dependent on whether the vowel is in a prosodically strong position (i.e., word-initial or stressed syllable) or a weak position (i.e. unstressed, non-initial position): in strong position, the oralization process is weaker than in weak positions, a fact that one can attribute to greater faithfulness to the underlying nasal feature in the consonant in the onset of a strong syllable. The result is that: 1) #_V and V$'_V m > [mb] ~ [b], because the leftward oralization process is only sometimes strong enough to entirely wipe out the nasal feature of the the segment, while in the /'V$-mV/ environment, the consonant is not in a prosodically strong position, and the leftwad oralization process is thus strong, and therefore categorically eliminates the nasal feature from the underlying nasal consonant, i.e., /'V$-mV/ > ['V$-bV].   When an underlying nasal consonant is preceded by a nasal vowel, the interaction with leftward oralization yields two different results. When leftward oralization is weak, i.e, the nasal consonant is in the onset of a strong syllable /v'$NV/, then the nasal vowel reinforces the nasality at the left edge of the nasal consonant, so that the weak leftward oralization process is insufficient to wipe out the nasality entirely, resulting categorically in surface [vmbV]. When the nasal consonant is in the onset of a weak syllable /'v$NV/, leftward oralization is strong, meaning that the oralization process can sometimes entirely wipe out the nasalization of the segment, resulting in variable ['vmbV] ~ ['vbV].   This language does not exhibit LDNH: all nasalization processes are strictly local. Vowels also contrast in nasality in all positions of the word. /N/s (post-oralize) when adjacent to oral vowels. Root-final nasal vowels cause prenasalization of /D/-initial suffixes (note: I'm not sure how to account for the face that suffixes have contrastive voiced stops--which makes me wonder if I should just wholly adopt Rößler's /D/ analysis throughout).				
Data inputter:	MJL				
Date completed:	07/09/2021 MJL				
Notes:	The nasalization process in Sammons has been generalized from /b/ to other places of articulations of obstruents, but it is not entirely clear if it is correct to extrapolate in such a way given the lack of a velar nasal. 				
					
Segments	{{T, p, t, tʃ, k}, {N, m, n, ɲ, ŋ}, {R, ɾ, j, w, β}, {V, i, e, ɨ, a, u, o}, {Ṽ, ĩ, ẽ, ɨ̃, ã, ũ, õ}}				
Allophones:	{{i, i}, {e, e}, {e, {e, ɛ}, @, ɛ-lowering}, {ɨ, ɨ}, {a, a}, {u, u}, {o, o}, {o, {o, ɔ}, @, ɔ-lowering}, {ĩ, ĩ}, {ẽ, ẽ}, {ɨ̃, ɨ̃}, {ã, ã}, {ũ, ũ}, {õ, õ}, {p, {p, ɸ}, @, ɸ-spirantization}, {t, t}, {tʃ, tʃ}, {k, k}, {β, β}, {w, v}, {w, w}, {ɾ, ɾ}, {j, j}, {m, mb, Ṽ_V, LO:NtoND}, {m, {b, mb}, V_V, {b-LO:NtoD, mb-LO:NtoD}}, {m, {b, mb}, #_V, {b-LO:wordinitial, mb-LO:wordinitial}}, {n, nd, Ṽ_V, LO:NtoND}, {n, {d, nd}, V_ V, {d-LO:NtoD, nd-LO:NtoD}}, {n, {d, nd}, #_V, {d-LO:wordinitial, nd-LO:wordinitial}}, {ɲ, dʒ, V_V, LO:NtoD}, {ɲ, ɲdʒ, Ṽ_V, LO:NtoND}, {ŋ, ŋɡ, Ṽ_V, LO:NtoND}, {ŋ, {ɡ, ŋɡ}, V_V, {ɡ-LO:NtoD, ŋɡ-LO:NtoD}}, {ŋ, {ɡ, ŋɡ}, #_V, {ɡ-LO:wordinitial, ŋɡ-LO:wordinitial}}, {ɾ, {n,ɾ}, _Ṽ, n-LN:r}, {j, ɲ, Ṽ_Ṽ, LN:j}, {m, m, Ṽ_Ṽ, maintenance}, {n, n, Ṽ_Ṽ, maintenance}, {ɲ, ɲ, Ṽ_Ṽ, maintenance}, {ŋ, ŋ, Ṽ_Ṽ, maintenance}}				
Morpheme IDs:	None				
					
Process name:	LO:NtoND				
Process type:	LO				
Prose description:	Nasal consonants /N/ are post-oralized to [ND] when preceded by a nasal vowel and followed by an oral vowel				
	Optionality:		Categorical		
	Directionality:		Leftward		
	Alternation type:		Phonological		
	Undergoers:		m, n, ɲ, ŋ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Uncertain
	Triggers:		V		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Uncertain
	Transparencies:		NA		
	Opacities:		NA		
					
Process name:	LO:NtoD				
Process type:	LO				
Prose description:	Nasal consonants /N/ are variably realized as fully oral [D] or post-oralized [ND] between oral vowels				
	Optionality:		Categorical		
	Directionality:		Bidirectional		
	Alternation type:		Phonological		
	Undergoers:		m, n, ɲ, ŋ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{prefix}, {root}
	Triggers:		V		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{prefix}, {root}
	Transparencies:		NA		
	Opacities:		NA		
					
Process name:	LO:wordinitial				
Process type:	LO				
Prose description:	Nasal consonants /N/ are variably realized as fully oral [D] or post-oralized [ND] at the beginning of a word before an oral vowel				
	Optionality:		Categorical		
	Directionality:		Leftward		
	Alternation type:		Phonological		
	Undergoers:		m, n, ɲ, ŋ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{word, initial}
	Triggers:		V		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{word, lmost}
	Transparencies:		NA		
	Opacities:		NA		
					
Process name:	LN:r				
Process type:	LN				
Prose description:	optional realization of /ɾ/ as /n/ before a nasal vowel				
	Optionality:		Optional		
	Directionality:		Leftward		
	Alternation type:		Phonological		
	Undergoers:		ɾ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Uncertain
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			Uncertain
	Transparencies:		NA		
	Opacities:		NA		
					
Page numbers:		47			
Process name:	LN:j				
Process type:	LN				
Prose description:	full nasalization of /j/ between two nasal vowels				
	Optionality:		Categorical		
	Directionality:		Circumdirectional		
	Alternation type:		Phonological		
	Undergoers:		j		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root+suffix}
	Triggers:		Ṽ		
		Type:			Segmental
		Morpheme class:			NA
		Morpheme IDs:			NA
		Positional restriction:			{root+suffix}
	Transparencies:		NA		
	Opacities:		NA		
