	Page numbers:		15, 16, 44			
Analytical framework:	Segmental					
Morpheme IDs:	{n-...-j, circumfix, n-...-j, n-...-j, NEG}, {aɾi, prefix, aɾi, ani, 1P.PL}, {putuwẽ, root, putuwẽ, mutuwẽ, 'in the morning'} {hapitĩ, root, hapitĩ, hamitĩ, 'Achilles tendon'}, {petẽ, root, petẽ, metẽ, 'breathed'}					
						
Process name:	LDNH					
Process type:	LDNH					
Prose description:	Leftward LDNH triggered by stressed Ṽ					
Page numbers:	17					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		V			
		Type:				Segmental
		Morpheme class:				{prefix, root}
		Morpheme IDs:				None
		Positional restriction:				{unstressed syllable}
	Undergoers:		w, ɾ, j, m, n			
		Type:				Segmental
		Morpheme class:				{prefix, root}
		Morpheme IDs:				None
		Positional restriction:				None
	Triggers:	Ṽ				
		Type:				Segmental
		Morpheme class:				Root
		Morpheme IDs:				None
		Positional restriction:				{stressed syllable} > {word, final}
	Transparencies:		h, ʔ			
	Opacities:		p, t, tʃ, k, kʷ			
						
Process name:	LN:Vpre					
Process type:	LN					
Prose description:	nasals /m,n/ nasalize the preceding V					
Page numbers:	17					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		V			
		Type:				Segmental
		Morpheme class:				{prefix, root, suffix}
		Morpheme IDs:				None
		Positional restriction:				{word}
	Triggers:	N				
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:Vinit					
Process type:	LN					
Prose description:	word-initial nasals /m,n/ nasalize the following V					
Page numbers:	17					
	Optionality:		Categorical			
	Directionality:		Rightward			
	Alternation type:		Phonological			
	Undergoers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, lmost}
	Triggers:	N				
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, initial}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	MPP=LDNH:pm					
Process type:	LDNH					
Prose description:	There is free variation between [p] and [m] in specific words with final nasal vowel: /putuwẽ/, /hapitĩ/, and /petẽ/					
Page numbers:	46					
	Optionality:		Optional			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		(lexically-specified words)			
		Type:				Morphemic
		Morpheme class:				NA
		Morpheme IDs:				{putuwẽ, hapitĩ, and petẽ}
		Positional restriction:				{word}
	Triggers:	Ṽ				
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				{putuwẽ, hapitĩ, and petẽ}
		Positional restriction:				{word, final}
	Transparencies:		None			
	Opacities:		None			
						
Doctype:	Synthesis					
Language:	Guajá (Guajá do Caru)					
Alternate_Names:	None					
ISO_Codes:	gyr_car					
Glottocode:	guaj1256					
Synthesis:	Our analysis is significantly informed by Nascimento 2008, and we propose the following rules: (1) leftward LDNH triggered by the rightmost stressed nasal Ṽ, with oral vowels and glides as undergoers, obstruents as blockers, and glottals as transparent; (2) bidirectional nasalization of vowels adjacent to nasal consonants; (3) nasal oral allomorphy for some morphemes when in the presence of another morpheme containing a nasal consonant, with two examples given below. Regarding #2, we note that Cunha divides this process into two: (i) nasalization of oral V when preceding nasal m,n; (ii) nasalization of oral V when following word initial m,n; however, we assume that these two procesesses are actually just part of a more general processes of LN:V.					
Data inputter:	TRH, SCJ, MJL					
Date completed:						
Notes:	None					
						
Natural classes:	{{V, i, e, ɨ, a, u, o}, {Ṽ, ĩ, ẽ, ã, ɨ̃, ũ, õ}, {T, p, t, tʃ, k, kʷ}, {S, h, ʔ}, {R, w, ɾ, j}, {N, m, n}}					
Allophones:	{{p, {p, b}, @, b-voicing}, {p, pʰ, US, consonant aspiration}, {t, {t, d}, @, d-voicing}, {t, tʰ, US, consonant aspiration}, {tʃ, {tʃ,dʒ}, @, dʒ-voicing}, {tʃ, tʃʰ, US, consonant aspiration}, {k, {k,ɡ}, @, ɡ-voicing}, {k, kʰ, US, consonant aspiration}, {kʷ, {kʷ,ɡʷ}, @, ɡʷ-voicing}, {kʷ, kʷʰ, US, consonant aspiration}, {m, {m,p}, &, MPP=p-LDNH:pm}, {n, n}, {w, w}, {w, {w̃, m}, &, {w̃-LDNH, m-LDNH}}, {w, w̥, US, devoicing}, {w, β, US, fortition}, {ɾ, ɾ}, {ɾ, {ɾ̃,n}, &, {ɾ̃-LDNH,n-LDNH}}, {j, {j̃,ɲ}, &, {j̃-LDNH,ɲ-LDNH}}, {h, h}, {ʔ, ʔ}, {i, {i,e,ɪ}, @, {e-lowering, ɪ-lowering}}, {e, {e,ɛ}, @, ɛ-lowering}, {ɨ, ɨ}, {a, a}, {a, ɐ, ˈ$_$, backing}, {a, a̘, j_, fronting}, {u, {u,o,ʊ}, @, {o-lowering, ʊ-lowering}}, {o, {o,ɔ}, @, ɔ-lowering}, {o, ɑ, {$_$'{ʔɔ, hɔ},w_}, lowering}, {ĩ, ĩ}, {ẽ, ẽ}, {ɨ̃, {ɨ̃,ə̃}, @, ə̃-centralization}, {ã, ã}, {ũ, ũ}, {õ, {õ,ũ}, @, ũ-raising}, {i, {i, i̥}, $'$*_#, i̥-devoicing}, {ɨ, {ɨ, ɨ̥}, $'$*_#, ɨ̥-devoicing}, {a, {ɐ, ɐ̥}, $'$*_#, {ɐ-backing, ɐ̥-devoicing}}, {e, {e, e̥}, $'$*_#, e̥-devoicing}, {u, {u, u̥}, $'$*_#, u̥-devoicing}, {o, {o, o̥}, $'$*_#, o̥-devoicing}, {ĩ, {ĩ, ĩ̥}, $'$*_#, ĩ̥-devoicing}, {ɨ̃, {ɨ̃, ɨ̥̃}, $'$*_#, ɨ̥̃-devoicing}, {ã, {ɐ̃, ɐ̥̃}, $'$*_#, {ɐ̃-backing, ɐ̥̃-devoicing}}, {ẽ, {ẽ, ẽ̥}, $'$*_#, ẽ̥-devoicing}, {ũ, {ũ, ũ̥}, $'$*_#, ũ̥-devoicing}, {o, {o, õ̥}, $'$*_#, õ̥-devoicing}, {i, {i, ḭ}, {_ʔ,ʔ_}, ḭ-glottal constriction}, {ɨ, {ɨ, ɨ̰}, {_ʔ,ʔ_}, ɨ̰-glottal constriction}, {a, {ɐ, ɐ̰}, {_ʔ,ʔ_}, {ɐ-backing, ɐ̰-glottal constriction}}, {e, {e, ḛ}, {_ʔ,ʔ_}, ḛ-glottal constriction}, {u, {u, ṵ}, {_ʔ,ʔ_}, ṵ-glottal constriction}, {o, {o, o̰}, {_ʔ,ʔ_}, o̰-glottal constriction}, {ĩ, {ĩ, ḭ̃}, {_ʔ,ʔ_}, ḭ̃-glottal constriction}, {ɨ̃, {ɨ̃, ɨ̰̃}, {_ʔ,ʔ_}, ɨ̰̃-glottal constriction}, {ã, {ɐ̃, ɐ̰̃}, {_ʔ,ʔ_}, {ɐ̃-backing, ɐ̰̃-glottal constriction}}, {ẽ, {ẽ, ḛ̃}, {_ʔ,ʔ_}, ḛ̃-glottal constriction}, {ũ, {ũ, ṵ̃}, {_ʔ,ʔ_}, ṵ̃-glottal constriction}, {õ, {õ, õ̰}, {_ʔ,ʔ_}, õ̰-glottal constriction}, {i, {i, ĭ}, _{h, ɾ}i, ĭ-vowel shortening}, {ɨ, {ɨ, ɨ̆}, _{h, ɾ}ɨ, ɨ̆-vowel shortening}, {a, {a, ă}, _{h, ɾ}a, ă-vowel shortening}, {u, {u,ŭ}, _{h, ɾ}u, ŭ-vowel shortening}, {e, {e,ĕ}, _{h, ɾ}e, ĕ-vowel shortening}, {o, {o,ŏ}, _{h, ɾ}o, ŏ-vowel shortening}, {i, ĩ, {_N,N_}, LN:V}, {i, ĩ, {_N,N_}, LN:V}, {i, ĩ, {_N,N_}, LN:V}, {i, ĩ, {_N,N_}, LN:V}, {e, ẽ, {_N,N_}, LN:V}, {ɨ, ɨ̃, {_N,N_}, LN:V}, {a, ã, {_N,N_}, LN:V}, {u, ũ, {_N,N_}, LN:V}, {o, õ, {_N,N_}, LN:V}, {ɾ, n, &, MPP=LDNH}}					
Analytical framework:	Segmental					
Morpheme IDs:	{n-...-j, circumfix, n-...-j, n-...-j, NEG}, {aɾi, prefix, aɾi, ani, 1stPluralPersonal}					
						
Process name:	LDNH					
Process type:	LDNH					
Prose description:	Leftward LDNH triggered by stressed root final nasal Ṽ					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		V, R			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				None
	Triggers:	Ṽ				
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable} > {word, final}
	Transparencies:		h, ʔ			
	Opacities:		p, t, tʃ, k, kʷ			
						
Process name:	LN:V					
Process type:	LN					
Prose description:	nasals /m,n/ nasalize the preceding and following V					
	Optionality:		Categorical			
	Directionality:		Bidirectional			
	Alternation type:		Phonological			
	Undergoers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word}
	Triggers:	N				
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	MPP=LDNH					
Process type:	LDNH					
Prose description:	Some morphemes alternate between oral-nasal allomorphs in the presence of another morpheme containing a nasal consonant, e.g. ari > ani in the presence of the circumfix n-...-j					
	Optionality:		Categorical			
	Directionality:		Bidirectional			
	Alternation type:		Phonological			
	Undergoers:		(lexically-specified morphemes)			
		Type:				Morphemic
		Morpheme class:				{prefix}
		Morpheme IDs:				{ari}
		Positional restriction:				{morpheme}
	Triggers:	m, n				
		Type:				Segmental
		Morpheme class:				{prefix, root}
		Morpheme IDs:				{n-...-j}
		Positional restriction:				{morpheme}
	Transparencies:		None			
	Opacities:		None			
						
Process name:	MPP=LDNH:pm					
Process type:	LDNH					
Prose description:	There is free variation between [p] and [m] in specific words with final nasal vowel: /putuwẽ/, /hapitĩ/, and /petẽ/					
	Optionality:		Optional			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		(lexically-specified words)			
		Type:				Morphemic
		Morpheme class:				None
		Morpheme IDs:				{putuwẽ, hapitĩ, and petẽ}
		Positional restriction:				{word}
	Triggers:	Ṽ				
		Type:				Segmental
		Morpheme class:				None
		Morpheme IDs:				{putuwẽ, hapitĩ, and petẽ}
		Positional restriction:				{word, final}
	Transparencies:		None			
	Opacities:		None			
