	Page numbers:		50-71, 81-97			
Analytical framework:	Descriptive					
Morpheme IDs:	{pe, suffix, pe, m, LOC}					
						
Process name:	LN:ɾ					
Process type:	LN					
Prose description:	Optional nasalization of /ɾ/ to [ɾ̃] before or after a nasal vowel, primarily in stressed syllables.					
Page numbers:	85-86					
	Optionality:		Optional			
	Directionality:		Bidirectional			
	Alternation type:		Phonological			
	Undergoers:		ɾ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:G					
Process type:	LN					
Prose description:	Obligatory nasalization of /w,j/ to [w̃], [j̃~ɲ] before or after a nasal vowel, primarily in stressed syllables.					
Page numbers:	85-86					
	Optionality:		Categorical			
	Directionality:		Bidirectional			
	Alternation type:		Phonological			
	Undergoers:		j, w			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Transparencies:		NA			
	Opacities:		NA			
						
Page numbers:	90-91					
Process name:	LN:VtoṼ					
Process type:	LN					
Prose description	/m, n, ŋ/ triggers nasalization of preceding V					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Transparencies:		NA			
	Opacities:		NA			
						
Page numbers:	{124-125}					
Process name:	ONAllm:ptom					
Process type:	ONAllm					
Prose description	Locative suffix {-pe} nasalizes to {-m} following a nasal vowel of the previous morpheme					
	Optionality:		Categorical			
	Directionality:		Rightward			
	Alternation type:		Morphological			
	Undergoers:		pe			
		Type:				Segmental
		Morpheme class:				suffix
		Morpheme IDs:				{pe}
		Positional restriction:				{suffix}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				root
		Morpheme IDs:				None
		Positional restriction:				{root, rmost}
	Transparencies:		NA			
	Opacities:		NA			
						
Doctype:	Synthesis					
Language:	Avá-Canoeiro Goiás					
Alternate_Names:	None					
ISO_Codes:	avv_gos					
Glottocode:	avac1239					
Synthesis	We adopt Borges' analysis of Avá-Canoeiro Goiás, given that it is the only description for this variety of Avá-Canoeiro. Following Borges' analysis, we assume a series of 3 nasal consonants /m, n, ŋ/ and a series of six vowels that contrast in orality-nasality /i, ɨ, e, a, o, u/, and adopt 4 (morpho)-phonological processes: (1) bidirectional LN, optional nasalization of /ɾ/ to [ɾ̃] before or after a nasal vowel, primarily in stressed syllables; (2) bidirectional LN, obligatory nasalization of glides /w, j/ to [w̃], [j̃] ~ [ɲ], respectively, before or after a nasal vowel, primarily in stressed syllables; (3) leftward LN, nasalization of oral vowels before nasal consonants /m, n, ŋ/; (4) rightward allomorphy, nasalization of the locative suffix {-pe} to {-m} after a nasal vowel in the previous morpheme.  We differ from Borges' analysis in proposing an additional process of leftward LDNH, where a nasal vowel or nasal consonant triggers nasalization of sonorants, including oral vowels and the approximants /ɾ, w, j/, with voiceless obstruents (p, t, tʃ, k, kʷ) acting as blockers.   We assume LDNH to occur in the Goiás variety of Avá-Canoeiro for the following reason: transcriptions in Borges' analysis for local nasalization processes result in surface forms which cannot be derived solely from local rules, for example: /kujã/ → [qʊ̃'ɲə̃ː] ~ [qʊ̃'j̃ə̃ː] 'mulher', /o-jeŋ/ → [õ'ɲẽːŋə] ~ [õ'j̃ẽːŋə] 'ele está falando', /i-waŋ/ → [ɪ'w̃ə̃ːŋə] 'é vermelho', /kuɾum/ → [qʊ'ɾ̃ũːm] ~ [qʊ'ɾũːm] 'menino' (p. 85); /wama/ → ['w̃ə̃ːmə] 'pasto', /o-momew/ → [ˌõmõˈmeːw] 'ele conversou' (p. 90).  The positoinal restrictions of LN processes are inferred from the documented cases of LNs; they are not explicitely stated. 					
Data inputter:	MJL & SCJ					
Date completed:	11/07/2021 SCJ + LDM					
Notes:	Despite Borges' claim that nasalization of tap and glides occurs primarily in stressed syllables, data for this process only shows nasalization in stressed syllables.					
						
Segments	{T, p, t, tʃ, k, kʷ}, {N, m, n, ŋ}, {Z, ʁ}, {R, ɾ, w, j}, {V, i, ɨ, e, a, o, u}, {Ṽ, ĩ, ɨ̃, ẽ, ã, õ, ũ}					
Allophones:	{{p, p}, {t, t}, {k, k}, {kʷ, kʷ}, {m, m}, {n, n}, {ŋ, ŋ}, {tʃ, tʃ}, {ʁ, ʁ}, {ɾ, ɾ}, {w, w}, {j, j}, {i, i}, {ɨ, ɨ}, {e, e}, {a, a}, {o, o}, {u, u}, {ĩ, ĩ}, {ɨ̃, ɨ̃}, {ẽ, ẽ}, {ã, ã}, {õ, õ}, {ũ, ũ}, {∅, ə, T_#, vowel epenthesis}, {p, {p, pʰ}, {#, $'}_, pʰ-consonant aspiration}, {t, {t, tʰ}, {#, $'}_, tʰ-consonant aspiration}, {k, {k, kʰ}, {#, $'}_, kʰ-consonant aspiration}, {p, pˀ, _#, oral consonant postglottalization}, {t, tˀ, _#, oral consonant postglottalization}, {k, kˀ, _#, oral consonant postglottalization}, {t, tʃ, _{i, ĩ, u}, palatalization}, {k, q, _{o, õ, u, ũ}, uvularization}, {ʁ, {ʁ, ɡ, ɢ}, @, {ɡ-fortition, ɢ-fortition}}, {w, w̃, {_Ṽ, Ṽ_}, LN:G}, {ɾ, {ɾ, ɾ̃}, {_Ṽ, Ṽ_}, ɾ̃-LN:ɾ}, {j, {j̃, ɲ}, {Ṽ_, _Ṽ}, {j̃-LN:G, ɲ-LN:G}}, {ɾ, {ɾ, l}, @, l-lateralization}, {j, {j, ʎ}, V_V, ʎ-lateralization}, {w, {w, ɢʷ}, @, ɢʷ-fortition}, {w, {w, β}, @, β-fortition}, {j, {ʒ, dʒ}, _V, {ʒ-fortition, dʒ-fortition}}, {tʃ, {tʃ, ʃ, ʒ, j}, @, {ʃ-lenition, ʒ-voicing, ʒ-lenition, j-lenition}}, {i, {ĩ, ɪ̃}, _{m, n, ŋ}, {ĩ-LN:VtoṼ, ɪ̃-LN:VtoṼ}}, {ɨ, ə̃, _{m, n, ŋ}, LN:VtoṼ}, {e, ẽ, _{m, n, ŋ}, LN:VtoṼ}, {a, ə̃, _{m, n, ŋ}, LN:VtoṼ}, {o, {õ, ʊ̃}, _{m, n, ŋ}, {õ-LN:VtoṼ, ʊ̃-LN:VtoṼ}}, {u, ʊ̃, _{m, n, ŋ}, LN:VtoṼ}, {e, ɛ, $'_, lowering}, {o, ɔ, $'_, lowering}, {i, ɪ, $*_, centralization}, {ɨ, ə, $*_, lowering}, {u, ʊ, $*_, centralization}, {e, {e, ɪ}, $*_, ɪ-raising}, {o, {o, ʊ}, $*_, ʊ-raising}, {a, {a, ə}, $*_, ə-raising}, {i, j, {#, V}_, gliding}, {u, w, V_, gliding}, {i, iː, $'_, lengthening}, {ĩ, ĩː, $'_, lengthening}, {ɨ, ɨː, $'_, lengthening}, {ɨ̃, ɨ̃ː, $'_, lengthening}, {e, eː, $'_, lengthening}, {ẽ, ẽː, $'_, lengthening}, {ẽ, ẽː, $'_, lengthening}, {ẽ, ẽː, $'_, lengthening}, {ẽ, ẽː, $'_, lengthening}, {u, uː, $'_, lengthening}, {ũ, ũː, $'_, lengthening}, {o, oː, $'_, lengthening}, {õ, õː, $'_, lengthening}, {a, aː, $'_, lengthening}, {p, m, Ṽ_, ONAllm:ptom}, {i, ĩ, &, LDNH}, {ɨ, ɨ̃, &, LDNH}, {e, ẽ, &, LDNH}, {a, ã, &, LDNH}, {o, õ, &, LDNH}, {u, ũ, &, LDNH}, {ɾ, ɾ̃, &, LDNH}, {w, w̃, &, LDNH}, {j, j̃, &, LDNH}}					
Morpheme IDs:	{pe, suffix, pe, m, LOC}					
						
Process name:	LN:ɾ					
Process type:	LN					
Prose description:	Optional nasalization of /ɾ/ to [ɾ̃] before or after a nasal vowel, primarily in stressed syllables.					
	Optionality:		Optional			
	Directionality:		Bidirectional			
	Alternation type:		Phonological			
	Undergoers:		ɾ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{prefix}, {root}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{prefix}, {root}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:G					
Process type:	LN					
Prose description:	Nasalization of /w,j/ to [w̃, j̃~ɲ] before or after a nasal vowel, primarily in stressed syllables.					
	Optionality:		Categorical			
	Directionality:		Bidirectional			
	Alternation type:		Phonological			
	Undergoers:		j, w			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{prefix}, {root}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{prefix}, {root}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:VtoṼ					
Process type:	LN					
Prose description	/m, n, ŋ/ triggers nasalization of preceding V					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{prefix}, {root}
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{root}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	ONAllm:ptom					
Process type:	ONAllm					
Prose description	Locative suffix {-pe} has the allomorph {-m} following a nasal vowel of the previous morpheme					
	Optionality:		Categorical			
	Directionality:		Rightward			
	Alternation type:		Morphological			
	Undergoers:		pe			
		Type:				Segmental
		Morpheme class:				{Suffix}
		Morpheme IDs:				{pe}
		Positional restriction:				{suffix}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				{Root}
		Morpheme IDs:				None
		Positional restriction:				{root, rmost}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LDNH					
Process type:	LDNH					
Prose description:	Nasal consonant or nasal vowel nasalizes preceding sonorants (V, ɾ, w, j); voiceless obstruents /p, t, tʃ, k, kʷ/ act as blockers					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		V, ɾ, w, j			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{prefix}, {root}
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{root, rmost}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{root, rmost}
	Transparencies:		Uncertain			
	Opacities:		p, t, tʃ, k, kʷ			
