Morpheme IDs:	None				
					
Process name:	LDNH				
Process type:	LDNH				
Prose description:	root-final stressed nasal vowels  and all nasal consonants nasalize all sonorants to their left				
	Optionality:		Categorical		
	Directionality:		Leftward		
	Alternation type:		Phonological		
	Undergoers:		V, ɾ, j, ɰ, w		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{prefix}, {root}	
	Triggers:		Ṽ		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{root, final}	
	Triggers:		m, n		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{word, rmost}	
	Transparencies:	p, t, ts, tʃ, k, kʷ, ʔ			
	Opacities:	None			
					
Process name:	LO				
Process type:	LO				
Prose description:	/m, n/ post-oralize before an oral vowel				
	Optionality:		Categorical		
	Directionality:		Leftward		
	Alternation type:		Phonological		
	Undergoers:		m, n		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{prefix}, {root}	
	Triggers:		V		
		Type:		Segmental	
		Morpheme class:		NA	
		Morpheme IDs:		NA	
		Positional restriction:		{prefix}, {root}	
	Transparencies:	NA			
	Opacities:	NA			
					
Process name:	XMP=LN:T				
Process type:	LN				
Prose description:	morpheme-initial /T/ pre-nasalizes to ND after a root ending in a nasal vowel				
	Optionality:		Categorical		
	Directionality:		Rightward		
	Alternation type:		Morphophonological		
	Undergoers:		k, kʷ, t, p, tʃ		
		Type:		Segmental	
		Morpheme class:		{suffix}	
		Morpheme IDs:		None	
		Positional restriction:		{suffix, initial}	
	Triggers:		Ṽ		
		Type:		Segmental	
		Morpheme class:		{root}	
		Morpheme IDs:		None	
		Positional restriction:		{root, final}	
	Transparencies:	NA			
	Opacities:	NA			
					
Process name:	XMP=LNsyll				
Process type:	LNSyll				
Prose description:	Unstressed suffixes are nasalized following a root final nasal vowel				
	Optionality:		Categorical		
	Directionality:		Rightward		
	Alternation type:		Morphophonological		
	Undergoers:		V, ɾ, j, ɰ, w		
		Type:		Segmental	
		Morpheme class:		{suffix}	
		Morpheme IDs:		none	
		Positional restriction:		{suffix}	
	Triggers:		Ṽ		
		Type:		Segmental	
		Morpheme class:		{root}	
		Morpheme IDs:		None	
		Positional restriction:		{root, final}	
	Transparencies:	NA			
	Opacities:	NA			
