	Page numbers:	1984:2-9, 1978/2008:11, 2013:3-6, 		
Analytical framework:	Segmental (1984), Ordered Rules (1984), Pedagogical (2013), Descriptive (1978/2008)			
Morpheme IDs:	{pɨ, suffix, pɨ, pɨ̃, pospositional clitic/in.between}, {ʔi, suffix, ʔi, ʔĩ, DIM}, {i.NEG, suffix, i, ĩ, NEG}, {mo, prefix, mo, mo, CAUS}, {ka, suffix, ka, ŋa, to beat}, {katu, suffix, katu, ŋatu, emphatic particle}, {kʷe, suffix, kʷe, ŋʷe, classifier}, {kɨ, suffix, ki, ŋɨ, soft}, {pa, suffix, pa, ma, all}, {pɨ, suffix, pɨ, mɨ, in the middle of}, {pɨre, suffix, pɨre, mɨre, passive marker/relative marker}, {puku, suffix, puku, muku, long}, {tɨ, suffix, tɨ, nɨ, collective clitic}			
				
Page numbers:	1984:3-5, 2013:5-6			
Process name:	LDNH:leftward			
Process type:	LDNH			
Prose description:	In a Prefix-Root domain, the right-most nasal vowel or nasal consonant triggers leftward LDNH, nasalizing oral vowels and approximants /ɾ, w/. Voiceless stops are transparent to this process			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Phonological		
	Undergoers:	V, ɾ, w		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		{prefix}, {root}
	Triggers:	Ṽ		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		{root, rmost}
	Triggers:	m, n, ŋ		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		{root, rmost}
	Transparencies:	p, t, k, kʷ, ʔ, h		
	Opacities:	Unspecified		
				
Page numbers:	1984:7-8			
Process name:	MPP=LNsyll:mo			
Process type:	LNSyll			
Prose description:	The causative prefix {mo-} nasalizes root-initial /p, t, k, kʷ/ to [m, n, ŋ, ŋʷ] of the adjacent root			
	Optionality:	Categorical		
	Directionality:	Rightward		
	Alternation type:	Morphophonological		
	Undergoers:	p, t, k, kʷ		
		Type:		Segmental
		Morpheme class:		root
		Morpheme IDs:		roots with initial /p, t, k, kʷ/ 
		Positional restriction:		{root, initial}
	Triggers:	mo		
		Type:		Morphological
		Morpheme class:		prefix
		Morpheme IDs:		{mo}
		Positional restriction:		NA
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	1984: 9			
Process name:	MPP=LN:N			
Process type:	LN			
Prose description:	root-final nasal vowels trigger nasalization of suffix-initial voiceless stops (in oral suffixes) /p, t, k, kʷ/ to [m, n, ŋ, ŋʷ]			
	Optionality:	Categorical		
	Directionality:	Rightward		
	Alternation type:	Morphophonological		
	Undergoers:	p, t, k, kʷ		
		Type:		Segmental
		Morpheme class:		suffix
		Morpheme IDs:		{ka, suffix, ka, ŋa, to beat}, {katu, suffix, katu, ŋatu, emphatic particle}, {kʷe, suffix, kʷe, ŋʷe, classifier}, {kɨ, suffix, ki, ŋɨ, soft}, {pa, suffix, pa, ma, all}, {pɨ, suffix, pɨ, mɨ, in the middle of}, {pɨre, suffix, pɨre, mɨre, passive marker/relative marker}, {puku, suffix, puku, muku, long}, {tɨ, suffix, tɨ, nɨ, collective clitic}
		Positional restriction:		{suffix, initial}
	Triggers:	Ṽ		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		{root, final}
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	1984:7, 2013:6			
Process name:	ONAllm:suffix			
Process type:	ONAllm			
Prose description:	nasal-oral allomorphy for the suffixes /-pɨ, -ʔi, -i.NEG/ occur as nasalized [-pɨ̃, -ʔĩ, ĩ.NEG] when they follow a root with root-final nasal vowel			
	Optionality:	Categorical		
	Directionality:	Rightward		
	Alternation type:	Morphophonological		
	Undergoers:	pɨ, ʔi, i.NEG		
		Type:		Morphemic
		Morpheme class:		suffix
		Morpheme IDs:		pɨ, ʔi, i.NEG
		Positional restriction:		NA
	Triggers:	Ṽ		
		Type:		Segmental
		Morpheme class:		root
		Morpheme IDs:		NA
		Positional restriction:		{root, final}
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	2013:3, 2013:5			
Process name:	LO			
Process type:	LO			
Prose description:	Post-oralization of nasal consonants /m, n, ŋ, ŋʷ/ to [mb, nd, ŋɡ, ŋɡʷ] before an oral vowel			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Phonological		
	Undergoers:	m, n, ŋ, ŋʷ		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		Unspecified
	Triggers:	V		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		Unspecified
	Transparencies:	NA		
	Opacities:	NA		
				
Doctype:	Reference			
Language:	Mbyá, ISO: [gun-brs] (Mbyá do Brasil)			
Source:	Guedes, Marymarcia. 1983. Subsídios para uma análise fonológica do Mbyá. UNICAMP:MA Thesis.			
Data inputter:	Teela Huff			
Summary:	Guedes posits underlying nasal consonants and contrastive oral and nasal vowels for Mbyá, along with 8 processes related to orality/nasality: (1) leftward LDNH, syllables either have an "oral" or "nasal" accent. Phonemically nasal vowels occur in stressed syllables with nasal accents while phonemically oral vowels occur in stressed syllables with oral accents: "a ocorrência de vogais nasais em sílabas acentuadas, pórem, opõe-se de modo distintivo à ocorrência de vogais orais: [ɔˈke] 'ele dorma', [ɔ̃ˈkẽ] 'porta', [tuˈpã] 'cama', [tũˈpã] 'filho de Deus'" (p.21). Syllables with nasal accents spread their nasality leftward, nasalizing all oral vowels and /ɾ/ (p. 17-19, 22, 47); (2) leftward LO, post-oralization of /m, n, ŋ/ to [mb, nd, ŋɡ] (p.29-31). Guedes describes these allophones as "pre-nasalized", but the environment is consistent with an analysis of post-oralization, therefore, we include it as this process; (3) leftward LO, oralization of word-initial /ŋʷ, ɲ/ to [ɡʷ] and [dʒ], respectively, before an oral vowel (p. 31); (4) circumdirectional LO, oralization of /ŋʷ/ and /ɲ/ to [ɡʷ] and [dʒ], respectively, between two oral vowels (p.31); (5) leftward LO, post-oralization of /ŋʷ/ to [ɡʷ] between a nasal vowel and oral vowel (p.31); (6) rightward MPP, the causative prefix {mo} triggers pre-nasalization of the following root-initial /p, t, k, kʷ/ to [mb, nd, ŋɡ, ŋɡʷ] (p.19-21); (7) rightward XMP, in a compound, non-head noun-initial /p, t, k, kʷ/ pre-nasalizes to [mb, nd, ŋɡ, ŋɡʷ] after a head noun-final nasal vowel. If the non-head noun contains a nasal vowel, pre-nasalization does not occur (p.19); (8) leftward allomorphy selection, the diminutive suffix /ʔi/ to [ʔĩ] after a root-final nasal vowel (p.19).  Guedes provides a detailed analysis for the degree of nasalization of phonetically nasal vowels and oral syllables (which both are nasalized by the leftward LDNH process described above): "A extensão da nasalidade para à sílaba a esquerda acentuada se caracteriza por uma redução progressiva da qualidade nasal: aparentemente, o véu palatino apresenta menor baixamento nas sílabas mais distantes da acentuada e maior baixamento nesta...Entretanto, essas sílabas pareceme sempre ser nasalizadas, ainda que minimamente, pois nelas ocorrem os alofones nasais das consonantes passíveis de nasalização" (translation: "The spreading of leftward nasalization from the stressed syllable to other syllables is characterized by a decrease in nasal quality: aparently, the soft palate lowers less in stressed syllables and lowers more in those ones [unstressed syllables]...Therefore, these syllables always appear as nasalized, even minimally, since within those syllables, nasal allophones of [certain] consonants which undergo nasalization occur", p. 18).  Guedes excludes /tʲ/ as undergoer for MPP:TtoND (pre-nasalization of root-initial obstruents to [ND]s after a root-final nasal vowel) due to the following reasoning: "Não temos exemplos da ocorrência de /ty/ nesse contexto, mas supomos que seu comportamento seria análogo ao que se dá após o prefixo causativo, isto é, a ele corresponderia a [nd]" (p.19). Following Guedes' claim, we also exclude /tʲ/ from the underɡoers section of this process.  The "nasal accent" referred to by Guedes is described to be/originate in the nasal vowel of an accented syllable. Therefore, we code it as Ṽ́ as a trigger.			
Notes:	Guedes' notation (left) has been updated to reflect current IPA (right): [e^] → [e̝] [e ̌] → [e̞] [e·] → [eː] [č] → [tʃ] [š] → [ʃ] [ƀ] → [β]  u̪ is unstressed/short V			
Include in SAPhon:	Yes			
				
Natural Classes:	{T, p, t, tʲ, tʃ, k, kʷ, ʔ}, {S, h}, {N, m, n, ŋ, ŋʷ, ɲ}, {R, w, ɾ}, {V, i, e, o, u, ɨ, a}, {Ṽ, ĩ, ẽ, õ, ũ, ɨ̃, ã}			
Allophones:	{{p, p}, {t, t}, {k, k}, {kʷ, kʷ}, {ʔ, ʔ}, {h, h}, {m, m}, {n, n}, {ŋ, ŋ}, {ɲ, ɲ}, {ŋʷ, ŋʷ, {Ṽ, #}_Ṽ, preservation}, {tʲ, {tʃ,ʃ}, @, {tʃ-affrication, ʃ-lenition}}, {w, {β,v,u̪}, @, {β-fortition, v-fortition, u̪-semivocalization}}, {ɾ, ɾ}, {e, {e, ɛ}, @, ɛ-lowering}, {o, {o, ɔ}, @, ɔ-lowering}, {i, i}, {ɨ, ɨ}, {a, a}, {u, u}, {o, o}, {ĩ, ĩ}, {ẽ, ẽ}, {ã, ã}, {õ, õ}, {ũ, ũ}, {ɨ̃, ɨ̃}, {m, mb, _V, LO:N}, {n, nd, _V, LO:N}, {ŋ, ŋɡ, _V, LO:N}, {ŋʷ, ɡʷ, #_V, LO:initial}, {ɲ, dʒ, #_V, LO:initial}, {ŋʷ, ɡʷ, V_V, LO:circumdirectional}, {ɲ, dʒ, V_V, LO:circumdirectional}, {ŋʷ, ŋɡʷ, Ṽ_V, LO:ŋɡʷ}, {ɾ, ɾ̃, &, LDNH}, {i, ĩ, &, LDNH}, {ɨ, ɨ̃, &, LDNH}, {a, ã, &, LDNH}, {u, ũ, &, LDNH}, {o, õ, &, LDNH}, {p, mb, Ṽ_, XMP=LN:TtoN}, {t, nd, Ṽ_, XMP=LN:TtoN}, {k, ŋɡ, Ṽ_, XMP=LN:TtoN}, {kʷ, ŋɡʷ, Ṽ_, XMP=LN:TtoN}, {p, mb, mo+_, MPP=LNsyll:mo}, {t, nd, mo+_, MPP=LNsyll:mo}, {k, ŋɡ, mo+_, MPP=LNsyll:mo}, {kʷ, ŋɡʷ, mo+_, MPP=LNsyll:mo}, {i, ĩ, ONAllm:ʔi}, {m, m, _Ṽ, maintenance}, {n, n, _Ṽ, maintenance}, {ɲ, ɲ, _Ṽ, maintenance}, {ŋ, ŋ, _Ṽ, maintenance}}			
	Page numbers:	26-43, 46 		
Analytical framework:	Descriptive			
Morpheme IDs:	{ʔi, suffix, ʔi, ʔĩ, DIM}, {mo, prefix, mo, mo, CAUS}			
				
Page numbers:	17-19, 22, 47			
Process name:	LDNH			
Process type:	LDNH			
Prose description:	LDNH, a syllable is nasal or oral and changes the unstressed syllables to agree in nasality accordingly. In a compound word, morphemes with an oral accent act as blockers.			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Phonological		
	Undergoers:	V, ɾ		
		Type:	Segmental	
		Morpheme class:	prefix, proclitic, root	
		Morpheme IDs:	NA	
		Positional restriction:	{prefix}, {root} 	
	Triggers:	Ṽ́		
		Type:	Suprasegmental	
		Morpheme class:	root	
		Morpheme IDs:	NA	
		Positional restriction:	{stressed syllable} > {root}	
	Transparencies:	p, t, tʲ, k, kʷ, ʔ		
	Opacities:	V́		
				
Page numbers:	29-31			
Process name:	LO:N			
Process type:	LO			
Prose description:	Post-oralization of /m, n, ŋ/ to [mb, nd, ŋɡ] before an oral vowel (described as "pre-nasalized stops")			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Phonological		
	Undergoers:	m, n, ŋ		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		Unspecified
	Triggers:	V		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		Unspecified
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	31			
Process name:	LO:initial			
Process type:	LO			
Prose description:	Oralization of /ŋʷ/ to [ɡʷ] and /ɲ/ to [dʒ] word-initially before an oral vowel			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Phonological		
	Undergoers:	ŋʷ, ɲ		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		{word, initial}
	Triggers:	V		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		{word, lmost}
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	31-32			
Process name:	LO:circumdirectional			
Process type:	LO			
Prose description:	Oralization of /ŋʷ/ to [ɡʷ] and /ɲ/ to [dʒ] between two oral vowels			
	Optionality:	Categorical		
	Directionality:	Circumdirectional		
	Alternation type:	Phonological		
	Undergoers:	ŋʷ, ɲ		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		Unspecified
	Triggers:	V		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		Unspecified
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	31			
Process name:	LO:ŋɡʷ			
Process type:	LO			
Prose description:	Postoralization of /ŋʷ/ to [ŋɡʷ] after a nasal vowel but before an oral vowel			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Phonological		
	Undergoers:	ŋʷ		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		Unspecified
	Triggers:	V		
		Type:		Segmental
		Morpheme class:		NA
		Morpheme IDs:		NA
		Positional restriction:		Unspecified
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	19-21			
Process name:	MPP=LNSyll:mo			
Process type:	LNSyll			
Prose description:	After the causative prefix {mo-}, root-initial /p, t, k, kʷ/ prenasalize to [mb, nd, ŋɡ, ŋɡʷ] in roots bearing nasal or oral accent			
	Optionality:	Categorical		
	Directionality:	Rightward		
	Alternation type:	Morphophonological		
	Undergoers:	p, t, k, kʷ		
		Type:		Segmental
		Morpheme class:		root
		Morpheme IDs:		NA
		Positional restriction:		{root, initial}
	Triggers:	mo		
		Type:		Morphological
		Morpheme class:		prefix
		Morpheme IDs:		mo
		Positional restriction:		NA
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	19			
Process name:	XMP=LN:ND			
Process type:	LN			
Prose description:	In a compound, non-head noun-initial /p, t, k, kʷ/ pre-nasalizes to [mb, nd, ŋɡ, ŋɡʷ] after a head noun-final stressed nasal vowel, providing that the non-head noun does not contain an underlying nasal vowel			
	Optionality:	Categorical		
	Directionality:	Rightward		
	Alternation type:	Morphophonological		
	Undergoers:	p, t, k, kʷ		
		Type:		Segmental
		Morpheme class:		dependent noun
		Morpheme IDs:		NA
		Positional restriction:		{word2, initial}
	Triggers:	Ṽ		
		Type:		Segmental
		Morpheme class:		head noun
		Morpheme IDs:		NA
		Positional restriction:		{word1, final}
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	19			
Process name:	ONAllm:ʔi			
Process type:	ONAllm			
Prose description:	Nasalization of the diminutive suffix /ʔi/ to [ʔĩ] after a root-final nasal vowel			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Morphophonological		
	Undergoers:	ʔi		
		Type:		Morphological
		Morpheme class:		suffix
		Morpheme IDs:		ʔi
		Positional restriction:		NA
	Triggers:	Ṽ		
		Type:		Segmental
		Morpheme class:		root
		Morpheme IDs:		NA
		Positional restriction:		{root, final}
	Transparencies:	NA		
	Opacities:	NA		
				
Doctype: 	Reference			
Language:	Mbyá, ISO: [gun-brs] (Mbyá do Brasil)			
Source:	Martins, Marci Fileti. 2003. Descrição e análise de aspectos da gramática do Guarani Mbyá. UNICAMP:Ph.D. Dissertation.			
Data inputter:	Teela Huff			
Summary:	Martins' dissertation focuses on Mbyá syntax but includes a section on phonology. The author's phonemic tables include allophones but the author does not expand on their distribution or provide any phonological rules to account for these allophones, therefore, the environments in the allophones list has been included as NA.  Martins proposes underlying nasal consonants (N) and oral vowels (V) for Mbyá. The author posits two processes: (1) leftward LN, nasalization of oral vowels before a nasal consonant (p.194, footnote 75); (2) leftward allomorphy selection, nasalization of the inactive prefix {i-} to [ʔiɲ] or [iɲ] before a nasal vowel (p.88). This second process seems to occur because of cylicity from the previous LN process (as Martins does not posit underlying nasal vowels in Mbyá).  Martins includes the allophones for nasal consonants in Mbyá: [ɳu̯, ɳɡu̯, ɡu̯, ku̯, mb, nd, ŋɡ], which Martins explains as follows: "A língua apresenta alguns segmentos complexos como as seqüências oclusiva/nasal+ vocóide alto arrendondado assilábico ɳu̯, ɳgu̯, gu̯, ku̯ e outros de contorno como as seqüências de segmentos consonantal nasal + oclusiva sonora mb, nd, ŋɡ, e oclusiva + fricativa tʃ, dʒ" (p.169). It is most likely that the [ɳ] is a typo and should actually be [ŋ], in accordance with the phonemic and allophonic inventories proposed by Martins. It is also possible that [mb, nd, ŋɡ, ŋɡu] are post-oralized allophones of /m, n, ŋ, ŋʷ/, respectively, but these are described as pre-nasalized (p.194, footnote 75). Therefore, they have been included as allophones of these nasal consonants and the environment has been included as NA. 			
Notes:	Martins does not propose underlying nasal vowels.			
Include in SAPhon:	Yes			
				
Natural Classes:	{T, p, t, tʃ, k, kʷ, ʔ}, {S, h}, {N, m, n, ɲ, ŋ, ŋʷ}, {R, ɾ, w}, {V, i, e, ɨ, a, o, u}			
Allophones:	{{p, p}, {t, t}, {k, k}, {kʷ, kʷ}, {ʔ, ʔ}, {m, m}, {m, mb, US, oralization}, {n, n}, {n, nd, US, oralization}, {ɲ, ɲ}, {ɲ, dʒ, US, {affrication, oralization}}, {ɲ, i̪, US, {vocalism, oralization}}, {ŋʷ, ɡu, US, {oralization, UC}}, {ŋʷ, ŋu̪, US, UC}, {ŋ, ŋ}, {ŋ, ŋɡ, US, oralization}, {ŋ, ŋɡu̪, US, {oralization, UC}}, {tʃ, tʃ}, {ɾ, ɾ}, {h, h}, {w, β, US, fortition}, {w, v}, {w, u̪, US, semivocalization}, {i, i}, {i, i̪, US, vowel shortening}, {ɨ, ɨ}, {u, u}, {u, u̪, US, vowel shortening}, {e, ɛ}, {e, e}, {o, o}, {o, ɔ, US, lowering}, {a, a}, {i, ĩ, _{m, n, ɲ, ŋ, ŋʷ}, LN}, {ɨ, ɨ̃, _{m, n, ɲ, ŋ, ŋʷ}, LN}, {e, ẽ, _{m, n, ɲ, ŋ, ŋʷ}, LN}, {a, ã, _{m, n, ɲ, ŋ, ŋʷ}, LN}, {o, õ, _{m, n, ɲ, ŋ, ŋʷ}, LN}, {u, ũ, _{m, n, ɲ, ŋ, ŋʷ}, LN}, {i, ĩ, &, ONAllm:i}}			
	Page numbers:	88, 167-168, 194		
Analytical framework:	Descriptive			
Morpheme IDs:	{i.INACT, prefix, i, {ʔiɲ, iɲ}, INACT}			
				
Page numbers:	194			
Process name:	LN			
Process type:	LN			
Prose description:	Nasal consonants nasalize the preceding vowel			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Phonological		
	Undergoers:	V		
		Type:	Segmental	
		Morpheme class:	NA	
		Morpheme IDs:	NA	
		Positional restriction:	Unspecified	
	Triggers:	m, n, ɲ, ŋ, ŋʷ		
		Type:	Phonological	
		Morpheme class:	NA	
		Morpheme IDs:	NA	
		Positional restriction:	Unspecified	
	Transparencies:	NA		
	Opacities:	NA		
				
Page numbers:	89			
Process name:	ONAllm:i			
Process type:	ONAllm			
Prose description:	The inactive prefix {i.INACT} is nasalized to either [iɲ] or [ʔiɲ] before a nasalized vowel (seems to be triggered by cyclity of LN process)			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Morphophonological		
	Undergoers:	i.INACT		
		Type:		Morphemic
		Morpheme class:		prefix
		Morpheme IDs:		i.INACT
		Positional restriction:		NA
	Triggers:	Ṽ		
		Type:		Segmental
		Morpheme class:		root
		Morpheme IDs:		NA
		Positional restriction:		{root, initial}
	Transparencies:	NA		
	Opacities:	NA		
				
Doctype:	Synthesis			
Language:	Mbyá (Mbyá do Brasil)			
Alternate_Names:	None			
ISO_Codes:	gun_brs			
Glottocode:	mbya1239			
Synthesis:	We largely assume Guedes' analysis of Mbyá, though unlike her, we assume that vowels do contrast for nasality at the segmental level, and that LDNH is the result of leftward LDNH spreading from a phonemically nasal vowel or consonant to the left edge of the (series of) prefix(es). We assume that LO causes underlying /N/s to become post-oralized [ND] before contrastively oral vowels. We assume that LN causes a root- or suffix-initial voiceless stop /T/ to become nasalized [N] (or prenazalized [ND] when followed by an oral vowel as per the LO process) when it occurs after root-final contrastively nasal vowel (either in a compound or sufix-derivational structure), and the causative prefix mo- also triggers this process to root-initial /T/s. We also assume that some suffixes present nasal-oral allomorphs, where the nasal allomorph is selected when attaching to a root ending in a contrastively nasal vowel, and the oral allomorph is selected when attaching to a root ending in an oral vowel. The list of alternating suffixes is taken from Dooley 1984 & Guedes.			
Data inputter:	MJL			
Date completed:	Nov. 23 2020, MJL	Jan 6, 2021, MJL		
Notes:	None			
				
Natural Classes:	{{T, p, t, tʃ, c, k, kʷ, ʔ}, {S, h}, {N, m, n, ɲ, ŋ, ŋʷ}, {R, w, ɾ}, {V, i, e, o, u, ɨ, a}, {Ṽ, ĩ, ẽ, õ, ũ, ɨ̃, ã}}			
Allophones:	{{p,p}, {t,t}, {k,k}, {kʷ,kʷ}, {ʔ,ʔ}, {m,mb,_V,LO}, {n,nd,_V,LO}, {ŋ,ŋɡ,_V,LO}, {ŋʷ,ɡʷ,_V,LO}, {ŋʷ,ŋɡʷ,Ṽ_V,LO}, {m,m}, {n,n}, {ŋ,ŋ}, {ŋʷ,ŋʷ}, {ɲ,ɲ}, {ɲ, dʒ, _V,LO}, {tʃ, {tʃ,ʃ}, US, ʃ-lenition}, {w,{b,v,u̪},@, {b-fortition, v-fortition, u̪-semivocalization}}, {ɾ,ɾ}, {ɾ,ɾ̃,&, LDNH}, {e,{e, ɛ},@,ɛ-lowering}, {o,{o, ɔ},@,ɔ-lowering}, {i,ĩ,&, LDNH}, {i,i}, {ɨ,ɨ}, {ɨ,ɨ̃,&, LDNH}, {a,a}, {a,ã,&, LDNH}, {u,u}, {u, ũ, &, LDNH}, {o, o}, {o, õ, &, LDNH}, {p, mb, Ṽ_, XMP=LN:TtoN}, {t, nd, Ṽ_, XMP=LN:TtoN}, {k, ŋɡ, Ṽ_, XMP=LN:TtoN}, {kʷ, ŋɡʷ, Ṽ_, XMP=LN:TtoN}, {p, mb, _V, MPP=LNsyll:mo}, {t, nd,_V, MPP=LNsyll:mo}, {k, ŋɡ,_V,MPP=LNsyll:mo}, {kʷ, ŋɡʷ,Ṽ_V,MPP=LNsyll:mo}, {ɨ, ɨ̃, Ṽ+_, {MPP=LNsyll:py?i, MPP=LNsyll:suffixes}}, {i, ĩ, Ṽ+_, {MPP=LNsyll:py?i, ONAllm:suffixes}}, {p, m, &,m ONAllm:suffixes}, {m, m, _Ṽ, maintenance}, {n, n, _Ṽ, maintenance}, {ɲ, ɲ, _Ṽ, maintenance}, {ŋ, ŋ, _Ṽ, maintenance}}			
