	Page numbers:		12-16			
Analytical framework:	Descriptive					
Morpheme IDs:	{{a, prefix, a, ã, {1.sg.set1, 3.sg.pl.set1}}, {ahɛ, prefix, ahɛ, ahɛ̃, {1.sg.set2, 1.sg.set4}}, {ahu, prefix, ahu, ahũ, 1sg.set3}, {ɛ, prefix, ɛ, ɛ̃, 1sg.set5}, {h, prefix, h, h̃, {1.sg.set6, 3.sg.pl.set6}}, {ai, prefix, ai, ãĩ, {1sg.set7, 3.sg.pl.set7}}, {i, prefix, i, ĩ, {1sg.set8, 3.a, sg.pl.set8}}, {dɛa, prefix, dɛa, dɛ̃ã, 2sg.set1}, {hɛ, prefix, hɛ, hɛ̃, 2sg.set2}, {dɛ, prefix, dɛ, dɛ̃, {2sg.set5, 2sg.set8}}, {dɛhɛ, prefix, dɛhɛ, dɛ̃hɛ̃, 2.sg.set4}, {hu, prefix, hu, hũ, 2sg.set3}, {dɛh, prefix, dɛh, dɛ̃h, 2g.set6}, {dɛi, prefix, dɛi, dɛ̃ĩ, 2sg.set7}, {uai, prefix, uai, ũãĩ,  {3.sg.set2, 3.pl.set2}}, {uu, prefix, uu, ũũ, {3.sg.set3, 3.pl.set3}}, {uɛ, prefix, uɛ, ũɛ̃, {3.sg.set4, 3.pl.set4, 3.sg.set5, 3.pl.set5}}, {tia, prefix, tia, tĩ, 1.pl.set1}, {tihɛ, prefix, tihɛ, tĩhɛ̃, {1.pl.set2, 1.pl.set4}}, {tihu, prefix, tihu, tĩhũ, 1.pl.set3}, {tihɛ, prefix, tihɛ, tĩhɛ̃, 1.pl.set4}, {ti, prefix, ti, tĩ, {1.pl.set5, 1.pl.set8}}, {tih, prefix, tih, tĩh, 2.pl.set6}, {tɛi, prefix, tɛi, tɛ̃ĩ, 1.pl.set7}, {pɛa, prefix, pɛa, pɛ̃ã, 2.pl.set1}, {pɛhɛ, prefix, pɛhɛ, pɛ̃hɛ̃, {2.pl.set2, 2.pl.set4}}, {pɛhu, prefix, pɛhu, pɛ̃hũ, 2.pl.set3}, {pɛ, prefix, pɛ, pɛ̃, {2.pl.set5, 2.pl.set8}}, {pɛh, prefix, pɛh, pɛ̃h, 2.pl.set6}, {pɛi, prefix, pɛi, pɛ̃ĩ, 2.pl.set7}}					
						
Process name:	LN:DtoND					
Process type:	LN					
Prose description:	/b, d, t, j, ɡ/ pre-nasalize to [mb, nd, nt, ɲdʒ, ŋɡ] following a nasal vowel and preceding an oral vowel					
Page numbers:	15					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		b, d, t, j, ɡ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	XMP=SN:DtoDN					
Process type:	SN					
Prose description:	Post-nasalization of /b, d, g/ to [bm, dn, gŋ] after an oral vowel at the end of a word					
Page numbers:	{15}					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		b, d, ɡ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, final}
	Triggers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, rmost}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:initial					
Process type:	LN					
Prose description:	/b, d, j/ nasalize to [m, n, ɲ] word-initially before a nasal vowel					
Page numbers:	{15}					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		b, d, j			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, initial}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, lmost}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:final					
Process type:	LN					
Prose description:	/b, d, g/ nasalizes to [m, n, ŋ] word-finally, following a nasal vowel					
Page numbers:	{15}					
	Optionality:		Categorical			
	Directionality:		Bidirectional			
	Alternation type:		Phonological			
	Undergoers:		b, d, ɡ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, final}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, rmost}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:Ṽ_Ṽ					
Process type:	LN					
Prose description:	/b, d, j, g/ nasalizes to [m, n, ɲ, ŋ] between two nasal vowels					
Page numbers:	{15}					
	Optionality:		Categorical			
	Directionality:		Circumdirectional			
	Alternation type:		Phonological			
	Undergoers:		b, d, ɡ, j			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	ONAllm:prefix					
Process type:	ONAllm					
Prose description:	Each person prefix has a nasal and an oral allomorph. The nasal allomorphs differ only in that vowels are nasalized. Nasal allomorphs occur only before oral voiced stops.					
Page numbers:	{18-19}					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Morphological			
	Undergoers:		V			
		Type:				morphological
		Morpheme class:				prefix
		Morpheme IDs:				{a, ahɛ, ahu, ɛ, h, ai, i, dɛa, hɛ, dɛ, dɛhɛ, hu, dɛh, dɛi, uai, uu, uɛ, tia, tihɛ, tihu, tihɛ, ti, tih, tɛi, pɛa, pɛhɛ, pɛhu, pɛ, pɛh, pɛi}
		Positional restriction:				NA
	Triggers:		D			
		Type:				segmental
		Morpheme class:				Root
		Morpheme IDs:				None
		Positional restriction:				{root, initial}
	Transparencies:		NA			
	Opacities:		NA			
						
Doctype:	Synthesis					
Language:	Içuã; Júma 					
Alternate_Names:	None					
ISO_Codes:	jua_icu 					
Glottocode:	juma1249					
Synthesis:	Given the available data, it is not possible to come up with a single analysis of nasal-oral allophony/allomorphy that accounts for all of the observed data of the language. We posit a series of nasal consonants /m, n, ŋ/ with a series of allophones: [ND, D, DN, N]. [DN] allophones only in word-final position immediately following an oral vowel, e.g. /apuan/ [apuadn] 'hitting'. [D] allophones occur in word-initial position before an oral vowel, and in word-medial position between two oral vowels (e.g. [pudaki] 'eel'). [N] allophones occur in word-initial before an nasal vowel, in word-medial position between two nasal vowels, and in word-final position after a nasal vowel. [ND] allophones occur in word-medial position, between a nasal and an oral vowel. Some [D]s which appear at the beginning of a root when the root lacks any prefixes are realized as [ND] when a prefix with a nasal vowel attaches to its left. However, stating that these prefixes have underlying nasal vowels is problematic, and it is much more logically economical to postulate that the alternation is purely morphological. 					
Data inputter:	MJL & SCJ					
Date completed:						
Notes:	The lack of description and documentation on this language makes it unable to conclude whether Içuã pertains to Júma or another related language/language family.					
						
Natural classes:	{T, p, t, k, h, ʔ}, {N, m, n, ŋ, ɲ}, {R, ɾ, j}, {V, i, ɛ, a, ɔ, ɯ}, {Ṽ, ĩ, ɛ̃, ã, ɔ̃, ɯ̃}					
Allophones:	{{p, p}, {t, t}, {k, k}, {ʔ, ʔ}, {m, m}, {n, n}, {ŋ, ŋ}, {ɲ, ɲ}, {ɾ, ɾ}, {j, j}, {h, h}, {i, i}, {ɛ, ɛ}, {a, a}, {ɔ, ɔ}, {ɯ, ɯ}, {ĩ, ĩ}, {ɛ̃, ɛ̃}, {ã, ã}, {ɔ̃, ɔ̃}, {ɯ̃, ɯ̃}, {a, ə, _{h, #}, raising}, {ã, ə̃, _{N, h, #}, raising}, {m, mb, V_, LO:NtoND}, {n, nd, V_, LO:NtoND}, {ŋ, ŋɡ, V_, LO:NtoND}, {m, bm, V_, LO:NtoDN}, {n, dn, V_, LO:NtoDN}, {ŋ, ɡŋ, V_, LO:NtoDN}, {m, b, #_V, LO:boundary}, {n, d, #_V, LO:boundary}, {ŋ, ɡ, #_V, LO:boundary}, {ɲ, dʒ, #_V, LO:boundary}, {m, b, #_V, LO:intervocalic}, {n, d, #_V, LO:intervocalic}, {ŋ, ɡ, #_V, LO:intervocalic}, {ɲ, dʒ, #_V, LO:intervocalic}, {a, ã, &, ONAllm:prefix}, {ɛ, ɛ̃, &, ONAllm:prefix}, {ɯ, ɯ̃, &, ONAllm:prefix}, {i, ĩ, &, ONAllm:prefix}, {m, m, Ṽ_Ṽ, maintenance}, {n, n, Ṽ_Ṽ, maintenance}, {ɲ, ɲ, Ṽ_Ṽ, maintenance}, {ŋ, ŋ, Ṽ_Ṽ, maintenance}, {m, m, _Ṽ, maintenance}, {n, n, _Ṽ, maintenance}					
Morpheme IDs:	{{a, prefix, a, ã, {1.sg.set1, 3.sg.pl.set1}}, {ahɛ, prefix, ahɛ, ahɛ̃, {1.sg.set2, 1.sg.set4}}, {ahu, prefix, ahu, ahũ, 1sg.set3}, {ɛ, prefix, ɛ, ɛ̃, 1sg.set5}, {h, prefix, h, h̃, {1.sg.set6, 3.sg.pl.set6}}, {ai, prefix, ai, ãĩ, {1sg.set7, 3.sg.pl.set7}}, {i, prefix, i, ĩ, {1sg.set8, 3.a, sg.pl.set8}}, {dɛa, prefix, dɛa, dɛ̃ã, 2sg.set1}, {hɛ, prefix, hɛ, hɛ̃, 2sg.set2}, {dɛ, prefix, dɛ, dɛ̃, {2sg.set5, 2sg.set8}}, {dɛhɛ, prefix, dɛhɛ, dɛ̃hɛ̃, 2.sg.set4}, {hu, prefix, hu, hũ, 2sg.set3}, {dɛh, prefix, dɛh, dɛ̃h, 2g.set6}, {dɛi, prefix, dɛi, dɛ̃ĩ, 2sg.set7}, {uai, prefix, uai, ũãĩ,  {3.sg.set2, 3.pl.set2}}, {uu, prefix, uu, ũũ, {3.sg.set3, 3.pl.set3}}, {uɛ, prefix, uɛ, ũɛ̃, {3.sg.set4, 3.pl.set4, 3.sg.set5, 3.pl.set5}}, {tia, prefix, tia, tĩ, 1.pl.set1}, {tihɛ, prefix, tihɛ, tĩhɛ̃, {1.pl.set2, 1.pl.set4}}, {tihu, prefix, tihu, tĩhũ, 1.pl.set3}, {tihɛ, prefix, tihɛ, tĩhɛ̃, 1.pl.set4}, {ti, prefix, ti, tĩ, {1.pl.set5, 1.pl.set8}}, {tih, prefix, tih, tĩh, 2.pl.set6}, {tɛi, prefix, tɛi, tɛ̃ĩ, 1.pl.set7}, {pɛa, prefix, pɛa, pɛ̃ã, 2.pl.set1}, {pɛhɛ, prefix, pɛhɛ, pɛ̃hɛ̃, {2.pl.set2, 2.pl.set4}}, {pɛhu, prefix, pɛhu, pɛ̃hũ, 2.pl.set3}, {pɛ, prefix, pɛ, pɛ̃, {2.pl.set5, 2.pl.set8}}, {pɛh, prefix, pɛh, pɛ̃h, 2.pl.set6}, {pɛi, prefix, pɛi, pɛ̃ĩ, 2.pl.set7}}					
						
Process name:	LO:NtoND					
Process type:	LO					
Prose description:	Post-oralization of /N/ to [ND] after an oral vowel					
	Optionality:		Categorical			
	Directionality:		Rightward			
	Alternation type:		Phonological			
	Undergoers:		N			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word}
	Triggers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LO:intervocalic					
Process type:	LO					
Prose description:	Oralization of /N/ to [D] between two oral vowels. /ɲ/ oralizes into [dʒ].					
	Optionality:		Categorical			
	Directionality:		Circumdirectional			
	Alternation type:		Phonological			
	Undergoers:		N			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{utterance, initial}
	Triggers:		V_V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, medial}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LO:boundary					
Process type:	LO					
Prose description:	Oralization of /N/ to [D] at the beginning of a word before an oral vowel. /ɲ/ oralizes into [dʒ]. 					
	Optionality:		Categorical			
	Directionality:		Circumdirectional			
	Alternation type:		Phonological			
	Undergoers:		N			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{utterance, medial}
	Triggers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{utterance, lmost}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LO:NtoDN					
Process type:	LO					
Prose description:	Pre-oralization of /N/ to [DN] after an oral vowel					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		N			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{morpheme, final}
	Triggers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{morpheme, rmost}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	ONAllm:prefix					
Process type:	ONAllm					
Prose description:	Each person prefix has a nasal and an oral allomorph. The nasal allomorphs differ only in that vowels are nasalized. Nasal allomorphs occur only before a (pre)nasal(ized) consonant, and the oral allomorphs occur elsewhere.					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:		Morphological			
	Undergoers:		V			
		Type:				Morphological
		Morpheme class:				Prefix
		Morpheme IDs:				{a, ahɛ, ahu, ɛ, h, ai, i, dɛa, hɛ, dɛ, dɛhɛ, hu, dɛh, dɛi, uai, uu, uɛ, tia, tihɛ, tihu, tihɛ, ti, tih, tɛi, pɛa, pɛhɛ, pɛhu, pɛ, pɛh, pɛi} 
		Positional restriction:				{prefix}
	Triggers:		N			
		Type:				Segmental
		Morpheme class:				Root
		Morpheme IDs:				None
		Positional restriction:				{Root, initial}
	Transparencies:		NA			
	Opacities:		NA			
