Prose description:	Nasalization in penultimate stressed syllables spreads first to a following onset /ɾ, ɡ/, which become [ɾ̃, ŋ], and then nasalizes its oral nucleus.					
Page numbers:	{1989:53, 1999:27-28}					
	Optionality:		Categorical			
	Directionality:		Rightward			
	Alternation type:		Phonological			
	Undergoers:		V, ɾ, ɡ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{unstressed syllable} > {word, final}
	Triggers:	Ṽ				
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable} > {word, penultimate}
	Transparencies:		Unspecified			
	Opacities:		Unspecified			
						
Process name:	LN:optional					
Process type:	LN					
Prose description:	Vowels optionally nasalize between a tautosyllabic nasal onset and a heterosyllabic nasal onset belonging to a following stressed syllable.					
Page numbers:	{1989:54, 1999:28}					
	Optionality:		Optional			
	Directionality:		Circumdirectional			
	Alternation type:		Phonological			
	Undergoers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{unstressed syllable}
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{unstressed syllable} > {word, antepenult}
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable} > {word, penult}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LO:postO					
Process type:	LO					
Prose description:	In a stressed syllable onset, nasal consonants /m, n, ŋ/ post-oralize to [mb, nd, ŋɡ] before an oral vowel.					
Page numbers:	{1989:9-11, 1989:28, 1999:14}					
	Optionality		Categorical			
	Directionality:		Leftward			
	Alternation type:		Phonological			
	Undergoers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable, onset}
	Triggers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable, nucleus}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LO:preO					
Process type:	LO					
Prose description:	Word-final nasal consonants are preoralized after oral vowel nuclei in stressed syllables.					
Page numbers:	{1989:10-12, 1989:28, 1999:14}					
	Optionality		Categorical			
	Directionality:		Rightward			
	Alternation type:		Phonological			
	Undergoers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, final}
	Triggers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable, nucleus}, {word, final}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:wj					
Process type:	LN					
Prose description:	/w j/ nasalize when adjacent to a nasal vowel.					
Page numbers:	{1989:15, 1989:28}					
	Optionality			Categorical		
	Directionality:			Bidirectional		
	Alternation type:			Phonological		
	Undergoers:			w, j		
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Triggers:			Ṽ		
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Unspecified
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	XWP=LN:initial					
Process type:	LN					
Prose description:	word-initial stops /p t k/ nasalize to [m n ŋ] after final nasal consonants in the preceding word					
Page numbers:	{1989:61-63, 1999:29, 1999:35}					
	Optionality		Optional			
	Directionality:		Rightward			
	Alternation type:		Phonological			
	Undergoers:		p, t, k			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, initial}
	Triggers:			m, n, ŋ		
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, final}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	XWP=LN:final					
Process type:	LN					
Prose description:	Word-final stops /p t k/ in the codas of syllables with a nasal vowel nucleus nasalize to [m n ŋ] before initial nasal consonants in the following word					
Page numbers:	{1999:29, 1999:36}					
	Optionality:		Optional			
	Directionality:		Circumdirectional			
	Alternation type:		Phonological			
	Undergoers:		p, t, k			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word1, final}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word1, rmost}
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word2, initial}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	ONAllm:p					
Process type:	LN					
Prose description:	Indicative suffix -p nasalizes to -m after verb roots with final nasal vowels					
Page numbers:	{1999:76}					
	Optionality		Categorical			
	Directionality:		Rightward			
	Alternation type:		Morphophonological			
	Undergoers:		p			
		Type:				Segmental
		Morpheme class:				Suffix
		Morpheme IDs:				p.INDIC
		Positional restriction:				NA
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				Root
		Morpheme IDs:				NA
		Positional restriction:				{root, final}
	Transparencies:		NA			
	Opacities:		NA			
						
Doctype:	Synthesis					
Language:	Karo					
Alternate_Names:	None					
ISO_Codes:	arr					
Glottocode:	karo1305					
Synthesis:	We adopt Gabas' (1999) analysis of Karo. Following Gabas' analysis, we assume a series of 3 nasals /m, n, ŋ/ and a two-way contrast between oral and nasal vowels, along with 8 processes: (1) rightward local syllabic nasalization, a nasal vowel in the penultimate stressed syllable spreads its nasality rightward to the following onset, nasalizing /ɾ, ɡ/ to [ɾ̃, ŋ], then nasalizing the following oral vowel in the nucleus; (2) bidirectional LN, optional nasalization of vowels between a tautosyllabic nasal onset and a heterosyllabic nasal onset belonging to a following stressed syllable; (3) leftward LO, post-oralization of /m, n, ŋ/ in a stressed syllable onset before an oral vowel; (4) rightward LO, shielding/pre-oralization of word-final /m, n, ŋ/ to [bm, dn, ɡŋ] after oral vowel nuclei in stressed syllables; (5) bidirectional LN, nasalization of glides /w, j/ when adjacent to a nasal vowel; (6) rightward LN, nasalization of morpheme-initial /p, t, k/ to [m, n, ŋ] after final nasal consonants in the preceding word; (7) circumdirectional LN, nasalization of word-final /p, t, k/ in syllable codas when between a nasal vowel nucleus and an initial nasal consonant in the following word; (8) rightward MPP, nasalization of the indicative suffix {-p} to [-m] after verb roots with final nasal vowels.					
Data inputter:	SCJ, JT					
Date completed:						
Notes:	As Gabas 1999 was largely the basis of Optionality judgments in the harvesting blocks, these judgments were largely conserved in the synthesis. LN:initial and LN:final were, however, coded as Optional here, as we found it highly likely that there would be inter-/intra- speaker variation. The facts in the section where these processes (and others) are documented are said to be “representative of only certain groups of speakers” (1999:29). This would seem to suggest that there are some speakers for whom these facts do not hold, e.g. speakers whose speech does not evidence LN:initial and LN:final. Furthermore, these processes have an environment larger than the word, making them the kind of "post-lexical" process that are often variable. Based on these considerations, we inferred that these processes are likely Optional, even though we felt it was insufficient to amount to the author claiming they were Optional as necessary to harvest them as Optional.					
						
Natural classes:	{T, p, t, c, k, ʔ}, {D, b, ɡ}, {N, m, n, ŋ}, {R, w, j, ɾ}, {S, h}, {V, i, ɛ, ə, a, ɔ, u, ɨ}, {Ṽ, ĩ, ẽ, ã, õ}, {TONE, 1, 5}					
Allophones:	{{p, p}, {t, t}, {c, c}, {k, k}, {ʔ, ʔ}, {b, b}, {ɡ, ɡ}, {b, {b, β}, V$*_, {β-lenition, β-spirantization}}, {ɡ, {ɡ, ɣ}, V$*_, {ɣ-lenition, ɣ-spirantization}}, {m, m}, {n, n}, {ŋ, ŋ}, {w, w}, {j, j}, {ɾ, ɾ}, {h, h}, {1, 1}, {5, 5}, {i, i}, {ɛ, ɛ}, {ɛ, e, $'_5, raising}, {ɔ, o, $'_5, raising}, {ɔ, ɔ}, {ə, ə}, {a, a}, {u, u}, {ɨ, ɨ}, {ĩ, ĩ}, {ẽ, ẽ}, {ã, ə̃, US, representation convention}, {õ, õ}, {a, {a, a:}, $'_+$*+, a:-lengthening}, {ɛ, {ɛ, ɛ:}, $'_+$*+, ɛ:-lengthening}, {i, {i, i:}, $'_+$*+, i:-lengthening}, {ə, {ə, ə:}, $'_+$*+, ə:-lengthening}, {ɔ, {ɔ, ɔ:}, $'_+$*+, ɔ:-lengthening}, {u, {u, u:}, $'_+$*+, u:-lengthening}, {ɨ, {ɨ, ɨ:}, $'_+$*+, ɨ:-lengthening}, {p, p:, $'_V, gemination}, {t, t:, $'_V, gemination}, {p, pˀ, _#, oral consonant postglottalization}, {t, tˀ, _#, oral consonant postglottalization}, {c, c:, $'_V, gemination}, {c, {ç, tʃ}, {#, V}_V, {ç-spirantization, tʃ-affrication}}, {k, k:, $'_, gemination}, {k, kˀ, _#, oral consonant postglottalization}, {p, b, {$'CV_#$*{m, n, ŋ}, {V, j, w}+_, _+{V, j, w}}, voicing}, {p, h, $'CV_#$'{m, n, ŋ, w, j}, debuccalization}, {k, g, {$'CV_+{m, n, ŋ}, {V, j, w}+_, _+{V, j, w}}, voicing}, {t, ɾ, {{V, j, w}+_, _+{V, j, w}}, {tapping, voicing}}, {m, mb, $'_V, LO:postO}, {n, nd, $'_V, LO:postO}, {ŋ, ŋɡ, $'_V, LO:postO}, {m, bm, V_#, LO:preO}, {n, dn, V_#, LO:preO}, {ŋ, ɡŋ, V_#, LO:preO}, {ɾ, ɾ̃, $'Ṽ$*_V, LNsyll:rightward}, {ɡ, ŋ, $'Ṽ$*_V, LNsyll:rightward}, {w, w̃, {Ṽ_, _Ṽ}, LN:wj}, {j, j̃, {Ṽ_, _Ṽ}, LN:wj}, {i, ĩ, $'Ṽ$*{ɡ, ɾ}_, LNsyll:rightward}, {ɛ, ẽ, $'Ṽ$*{g, ɾ}_, LNsyll:rightward}, {a, ə̃, $'Ṽ$*{ɡ, ɾ}_, LNsyll:rightward}, {ɔ, õ, $'Ṽ$*{g, ɾ}_, LNsyll:rightward}, {i, {i, ĩ}, {m, n, ŋ}_$'{m, n, ŋ}, ĩ-LN:optional}, {ɛ, {ɛ, ẽ}, {m, n, ŋ}_$'{m, n, ŋ}, ẽ-LN:optional}, {a, {a, ə̃}, {m, n, ŋ}_$'{m, n, ŋ}, ə̃-LN:optional}, {ɔ, {ɔ, õ}, {m, n, ŋ}_$'{m, n, ŋ}, õ-LN:optional}, {p, {p, m}, {m, n, ŋ}+_, MPP=m-LN:initial}, {t, {t, n}, {m, n, ŋ}+_, MPP=n-LN:initial}, {k, {k, ŋ}, {m, n, ŋ}+_, MPP=ŋ-LN:initial}, {p, {p, m}, Ṽ_+{m, n, ŋ}, MPP=m-LN:final}, {t, {t, n}, Ṽ_+{m, n, ŋ}, MPP=n-LN:final}, {k, {k, ŋ}, Ṽ_+{m, n, ŋ}, MPP=ŋ-LN:final}, {1, 3, $*_, tone raising}, {p, m, Ṽ+_, MPP=LN:p}, {m, m, Ṽ_Ṽ, maintenance}, {n, n, Ṽ_Ṽ, maintenance}, {ŋ, ŋ, Ṽ_Ṽ, maintenance}}					
Morpheme IDs:	{p.INDIC, suffix, p, {ap, m}, INDIC}					
						
Process name:	LNsyll:rightward					
Process type:	LNsyll					
Prose description:	Nasalization in penultimate stressed syllables spreads first to a following onset /ɾ, ɡ/, which become [ɾ̃, ŋ], and then nasalizes its oral nucleus.					
	Optionality		Categorical			
	Directionality:		Rightward			
	Alternation type:		Phonological			
	Undergoers:		V, ɾ, ɡ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{unstressed syllable} > {word, final}
	Triggers:	Ṽ				
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable} > {word, penultimate}
	Transparencies:		Unspecified			
	Opacities:		Unspecified			
						
Process name:	LN:optional					
Process type:	LN					
Prose description:	Vowels optionally nasalize between a tautosyllabic nasal onset and a heterosyllabic nasal onset belonging to a following stressed syllable.					
	Optionality:		Optional			
	Directionality:		Circumdirectional			
	Alternation type:		Phonological			
	Undergoers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{unstressed syllable}
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{unstressed syllable} > {word, antepenult}
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable} > {word, penult}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LO:postO					
Process type:	LO					
Prose description:	In a stressed syllable onset, nasal consonants /m, n, ŋ/ post-oralize to [mb, nd, ŋɡ] before an oral vowel.					
	Optionality:		Categorical			
	Directionality:		Leftward			
	Alternation type:			Phonological		
	Undergoers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable, onset}
	Triggers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable, nucleus}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LO:preO					
Process type:	LO					
Prose description:	Word-final nasal consonants are preoralized after oral vowel nuclei in stressed syllables.					
	Optionality:		Categorical			
	Directionality:		Rightward			
	Alternation type:			Phonological		
	Undergoers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, final}
	Triggers:		V			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{stressed syllable, nucleus} > {word, final}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	LN:wj					
Process type:	LN					
Prose description:	/w j/ nasalize when adjacent to a nasal vowel.					
	Optionality:		Categorical			
	Directionality:		Bidirectional			
	Alternation type:			Phonological		
	Undergoers:			w, j		
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Uncertain
	Triggers:			Ṽ		
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				Uncertain
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	XWP=LN:initial					
Process type:	XWP=LN					
Prose description:	Morpheme-initial stops /p t k/ nasalize to [m n ŋ] after final nasal consonants in the preceding word					
	Optionality:		Optional			
	Directionality:		Rightward			
	Alternation type:			Phonological		
	Undergoers:			p, t, k		
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, initial}
	Triggers:			m, n, ŋ		
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word, final}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	XWP=LN:final					
Process type:	XWP=LN					
Prose description:	Word-final stops /p t k/ in the syllable codas with a nasal vowel nucleus nasalize to [m n ŋ] before initial nasal consonants in the following word					
	Optionality:		Optional			
	Directionality:		Circumdirectional			
	Alternation type:		Phonological			
	Undergoers:		p, t, k			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word1, final}
	Triggers:		Ṽ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word1, rmost}
	Triggers:		m, n, ŋ			
		Type:				Segmental
		Morpheme class:				NA
		Morpheme IDs:				NA
		Positional restriction:				{word2, initial}
	Transparencies:		NA			
	Opacities:		NA			
						
Process name:	MPP=LN:p					
Process type:	MPP=LN					
Prose description:	Indicative suffix -p nasalizes to -m after verb roots with final nasal vowels					
Page numbers:	{1999:16}					
	Optionality:		Categorical			
	Directionality:		Rightward			
	Alternation type:		Morphophonological			
	Undergoers:		p			
		Type:				Segmental
		Morpheme class:				Suffix
		Morpheme IDs:				p.INDIC
		Positional restriction:				NA
	Triggers:		Ṽ			
